id,nombre,pagina_oficial,anio_inicio
1,Historia,https://www.fch.unicen.edu.ar/lic-historia/,1975
2,Relaciones Internacionales,https://www.fch.unicen.edu.ar/relaciones-internacionales/,1997
3,Geografía,https://www.fch.unicen.edu.ar/geografia/,1974
4,Trabajo Social,https://www.fch.unicen.edu.ar/trabajo-social/,1989
5,Diagnóstico y Gestión Ambiental,https://www.fch.unicen.edu.ar/diagnostico-y-gestion-ambiental/,2003
6,Ciencias de la Educación,https://www.fch.unicen.edu.ar/ciencias-de-la-educacion/,1992
7,Turismo,https://www.fch.unicen.edu.ar/turismo/,2004
8,Educación Inicial,https://www.fch.unicen.edu.ar/educacion-inicial/,1985
